127.0.0.1 - - [25/Apr/2022:07:14:57 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:04 +0700] "GET /ASM_Java4/admin/users/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:05 +0700] "GET /ASM_Java4/login HTTP/1.1" 200 13067
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:05 +0700] "GET /ASM_Java4/Views/js/jquery1.min.js HTTP/1.1" 200 93636
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:05 +0700] "GET /ASM_Java4/Views/js/megamenu.js HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:05 +0700] "GET /ASM_Java4/Views/css/style.css HTTP/1.1" 200 56727
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:05 +0700] "GET /ASM_Java4/Views/css/megamenu.css HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:05 +0700] "GET /ASM_Java4/Views/js/jquery.easydropdown.js HTTP/1.1" 200 12390
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:05 +0700] "GET /ASM_Java4/Views/images/logo.png HTTP/1.1" 200 3696
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:05 +0700] "GET /ASM_Java4/Views/images/2.png HTTP/1.1" 200 4165
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:05 +0700] "GET /ASM_Java4/Views/images/3.png HTTP/1.1" 200 4176
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:05 +0700] "GET /ASM_Java4/Views/images/img-sprite.png HTTP/1.1" 200 14850
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:05 +0700] "GET /ASM_Java4/Views/images/search.png HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:05 +0700] "GET /ASM_Java4/Views/images/tag.png HTTP/1.1" 200 3611
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:05 +0700] "GET /ASM_Java4/Views/images/f-tw.png HTTP/1.1" 200 3692
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:05 +0700] "GET /ASM_Java4/Views/images/f-icon.png HTTP/1.1" 200 2808
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:05 +0700] "GET /ASM_Java4/Views/images/cart.png HTTP/1.1" 200 3574
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:10 +0700] "POST /ASM_Java4/checklogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:10 +0700] "GET /ASM_Java4/admin/users/index HTTP/1.1" 200 18181
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:10 +0700] "GET /ASM_Java4/admin/users/js/scripts.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:10 +0700] "GET /ASM_Java4/admin/users/assets/demo/chart-bar-demo.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:10 +0700] "GET /ASM_Java4/admin/users/js/datatables-simple-demo.js HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:10 +0700] "GET /ASM_Java4/admin/users/assets/demo/chart-area-demo.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:10 +0700] "GET /ASM_Java4/Views/admin/css/styles.css HTTP/1.1" 200 222222
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:17 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:23 +0700] "GET /ASM_Java4/admin/products/index HTTP/1.1" 200 16056
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:23 +0700] "GET /ASM_Java4/admin/products/js/datatables-simple-demo.js HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:23 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-area-demo.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:23 +0700] "GET /ASM_Java4/admin/products/js/scripts.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:23 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-bar-demo.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:23 +0700] "GET /ASM_Java4/image/a-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:50 +0700] "POST /ASM_Java4/admin/products/store HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:50 +0700] "GET /ASM_Java4/admin/products/index HTTP/1.1" 200 16166
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:50 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-area-demo.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:50 +0700] "GET /ASM_Java4/admin/products/js/scripts.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:50 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-bar-demo.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:15:50 +0700] "GET /ASM_Java4/admin/products/js/datatables-simple-demo.js HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:00 +0700] "GET /ASM_Java4/admin/products/index HTTP/1.1" 200 16056
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:00 +0700] "GET /ASM_Java4/admin/products/js/scripts.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:00 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-area-demo.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:00 +0700] "GET /ASM_Java4/admin/products/js/datatables-simple-demo.js HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:00 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-bar-demo.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:10 +0700] "GET /ASM_Java4/admin/products/index HTTP/1.1" 200 16056
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:10 +0700] "GET /ASM_Java4/admin/products/js/scripts.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:10 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-bar-demo.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:10 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-area-demo.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:10 +0700] "GET /ASM_Java4/admin/products/js/datatables-simple-demo.js HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:30 +0700] "POST /ASM_Java4/admin/products/store HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:30 +0700] "GET /ASM_Java4/admin/products/index HTTP/1.1" 200 20560
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:30 +0700] "GET /ASM_Java4/admin/products/js/scripts.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:30 +0700] "GET /ASM_Java4/admin/products/js/datatables-simple-demo.js HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:30 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-area-demo.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:30 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-bar-demo.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:30 +0700] "GET /ASM_Java4/image/a-img1.jpg HTTP/1.1" 200 28779
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:03 +0700] "POST /ASM_Java4/admin/products/store HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:03 +0700] "GET /ASM_Java4/admin/products/index HTTP/1.1" 200 24960
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:03 +0700] "GET /ASM_Java4/admin/products/js/scripts.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:03 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-area-demo.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:03 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-bar-demo.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:03 +0700] "GET /ASM_Java4/image/a-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:03 +0700] "GET /ASM_Java4/admin/products/js/datatables-simple-demo.js HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:03 +0700] "GET /ASM_Java4/image/pic.jpg HTTP/1.1" 200 7964
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "POST /ASM_Java4/admin/products/store HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "GET /ASM_Java4/admin/products/index HTTP/1.1" 200 29357
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-area-demo.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "GET /ASM_Java4/admin/products/js/scripts.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-bar-demo.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "GET /ASM_Java4/image/a-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "GET /ASM_Java4/admin/products/js/datatables-simple-demo.js HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "GET /ASM_Java4/image/pic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "GET /ASM_Java4/image/s5.jpg HTTP/1.1" 200 8944
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/users/index HTTP/1.1" 200 13489
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/Views/js/jquery-ui.min.js HTTP/1.1" 200 237108
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/Views/css/form.css HTTP/1.1" 200 9114
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/Views/js/css3-mediaqueries.js HTTP/1.1" 200 16017
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/Views/js/fwslider.js HTTP/1.1" 200 8783
